Employee_ID,Age,Gender,Department,Position,Tenure,Performance_Rating,Salary,Recruitment_Source,Satisfaction_Score,Last_Promotion_Years,Work_Life_Balance,Overworked,Job_Satisfaction,Distance_From_Work,Commute_Time,Number_Of_Promotions,Turnover,Turnover_Description
EMP0025,33,Male,Finance,Manager,5,5,49942,Campus Recruitment,3.6,6,5,1,4,1,47,4,0,Retention
EMP0026,43,Male,Engineering,Engineer,5,4,50862,Internal Referral,3.3,2,3,1,4,40,52,4,0,Retention
EMP0027,46,Male,Marketing,Engineer,21,1,41669,Internal Referral,3.4,0,2,0,1,47,24,2,0,Retention
EMP0028,48,Male,Marketing,Engineer,24,5,83772,Job Board,4.9,5,3,0,1,33,71,0,0,Retention
EMP0029,63,Female,Engineering,Specialist,17,2,45916,Internal Referral,4.5,7,5,0,1,7,42,0,0,Retention
EMP0030,49,Female,Engineering,Specialist,16,4,40878,Job Board,4.5,5,4,0,5,11,52,4,0,Retention
EMP0031,37,Female,Sales,Specialist,28,5,32985,Internal Referral,3.7,4,5,1,4,27,30,1,0,Retention
EMP0032,36,Male,Marketing,Manager,11,4,103648,Campus Recruitment,4.4,7,4,1,1,14,35,2,0,Retention
EMP0033,24,Male,Engineering,Specialist,5,4,71235,Internal Referral,2.7,1,4,0,2,22,20,0,0,Retention
EMP0034,58,Male,Engineering,Analyst,25,2,48931,Job Board,4.1,0,1,0,5,16,55,4,0,Retention
EMP0035,28,Female,Marketing,Analyst,26,3,30336,Internal Referral,3.3,0,2,0,3,46,29,1,1,Turnover
EMP0036,42,Male,Engineering,Engineer,7,5,72933,Campus Recruitment,1.4,3,5,0,4,12,17,1,0,Retention
EMP0037,30,Female,Sales,Specialist,18,2,114899,Job Board,1.9,5,4,1,4,49,57,1,0,Retention
EMP0038,60,Female,Marketing,Analyst,27,4,75536,Campus Recruitment,2.8,8,5,0,2,46,61,3,1,Turnover
EMP0039,39,Female,Sales,Engineer,9,2,99504,Campus Recruitment,3.9,0,5,1,3,10,28,1,0,Retention
EMP0040,25,Female,Sales,Specialist,0,3,81148,Job Board,2.8,0,4,0,3,24,80,4,0,Retention
EMP0041,46,Female,Sales,Manager,24,5,46279,Campus Recruitment,2.9,4,3,1,5,46,43,2,0,Retention
EMP0042,35,Female,Sales,Analyst,28,3,98665,Campus Recruitment,4.3,9,2,0,4,18,18,4,0,Retention
EMP0043,30,Male,Marketing,Manager,12,1,101386,Internal Referral,2.9,4,2,0,1,22,40,1,1,Turnover
EMP0044,47,Male,Sales,Specialist,16,5,116124,Campus Recruitment,4.8,4,1,0,2,9,26,2,0,Retention
EMP0045,23,Female,Sales,Analyst,2,3,107485,Campus Recruitment,4.7,9,1,1,2,17,16,0,0,Retention
EMP0046,41,Female,Engineering,Specialist,7,4,104055,Campus Recruitment,3.5,5,1,0,2,38,31,0,0,Retention
EMP0047,49,Male,Marketing,Manager,13,5,107273,Campus Recruitment,4.3,7,2,0,2,40,49,4,0,Retention
EMP0048,28,Female,Marketing,Analyst,2,5,96670,Job Board,4.1,2,3,0,1,13,24,2,1,Turnover
EMP0049,29,Female,Finance,Manager,15,2,106474,Internal Referral,3.3,8,2,0,1,37,57,4,1,Turnover
EMP0050,56,Male,Marketing,Specialist,12,4,84028,Campus Recruitment,4.4,0,2,0,5,6,35,2,0,Retention
EMP0051,35,Female,Marketing,Specialist,19,1,101128,Campus Recruitment,4.5,3,2,1,4,21,29,2,0,Retention
EMP0052,38,Female,Finance,Manager,23,3,48108,Job Board,2.5,8,2,0,1,36,49,4,0,Retention
EMP0053,57,Female,Marketing,Analyst,16,2,82495,Campus Recruitment,3.7,7,3,0,5,7,74,2,0,Retention
EMP0054,61,Male,Marketing,Manager,12,3,112806,Job Board,3.6,9,1,0,3,36,58,1,0,Retention
EMP0055,25,Male,Marketing,Specialist,28,1,106533,Internal Referral,4.3,8,5,0,4,25,19,2,0,Retention
EMP0056,23,Male,Marketing,Manager,5,1,86830,Internal Referral,3.1,0,1,0,1,11,87,2,0,Retention
EMP0057,27,Female,Finance,Specialist,16,5,104640,Campus Recruitment,2.9,8,1,0,3,44,32,4,1,Turnover
EMP0058,63,Female,Marketing,Manager,13,1,82509,Campus Recruitment,3.7,2,5,0,5,14,35,0,0,Retention
EMP0059,25,Male,Marketing,Analyst,16,3,96406,Campus Recruitment,4.7,9,2,0,1,45,86,3,0,Retention
EMP0060,50,Female,Finance,Analyst,29,4,69519,Job Board,2.3,8,3,1,1,29,88,2,0,Retention
EMP0061,39,Female,Engineering,Manager,7,4,79649,Campus Recruitment,2.5,0,3,0,3,10,65,3,1,Turnover
EMP0062,47,Female,Sales,Manager,10,5,64524,Campus Recruitment,3,0,1,1,1,48,55,2,0,Retention
EMP0063,55,Female,Engineering,Analyst,19,3,63885,Internal Referral,3.2,8,5,0,2,5,38,4,0,Retention
EMP0064,31,Female,Finance,Specialist,27,3,74369,Campus Recruitment,1.7,5,4,0,1,8,38,4,0,Retention
EMP0065,57,Male,Sales,Analyst,0,1,60676,Internal Referral,5,3,2,0,4,46,52,2,1,Turnover
EMP0066,35,Female,Finance,Specialist,25,3,94093,Campus Recruitment,3.4,6,1,0,3,5,58,4,0,Retention
EMP0067,52,Male,Finance,Manager,6,2,77764,Internal Referral,3.2,4,3,1,4,24,71,4,0,Retention
EMP0068,36,Female,Marketing,Manager,20,1,80799,Campus Recruitment,5.1,9,5,1,5,40,73,2,1,Turnover
EMP0069,29,Male,Sales,Specialist,20,2,109414,Internal Referral,4.2,6,5,0,4,26,48,0,1,Turnover
EMP0070,35,Female,Marketing,Manager,16,5,102307,Job Board,3,7,1,0,2,6,89,2,0,Retention
EMP0071,44,Male,Sales,Specialist,29,4,112062,Internal Referral,3.7,7,4,0,2,16,37,0,0,Retention
EMP0072,61,Female,Finance,Engineer,9,5,61923,Internal Referral,3.5,0,3,0,4,36,57,4,0,Retention
EMP0073,42,Male,Finance,Analyst,10,4,108388,Internal Referral,4.9,7,1,0,5,12,54,0,0,Retention
EMP0074,37,Female,Engineering,Engineer,21,5,77574,Campus Recruitment,3.3,5,4,1,1,11,61,4,1,Turnover
EMP0075,39,Male,Sales,Specialist,29,3,73391,Campus Recruitment,2.1,3,5,1,2,3,55,0,0,Retention
EMP0076,45,Female,Marketing,Analyst,8,2,83664,Campus Recruitment,1.6,7,2,1,4,44,61,0,1,Turnover
EMP0077,47,Male,Engineering,Specialist,8,4,97384,Job Board,5,2,3,1,4,37,34,2,0,Retention
EMP0078,46,Male,Engineering,Analyst,23,1,61027,Job Board,2.7,3,3,0,4,6,79,0,0,Retention
EMP0079,62,Female,Engineering,Analyst,4,2,65464,Internal Referral,4.2,5,4,0,1,19,82,4,0,Retention
EMP0080,50,Female,Marketing,Analyst,16,1,64485,Job Board,3.6,6,1,0,3,18,38,2,0,Retention
EMP0081,36,Male,Engineering,Analyst,8,2,49456,Internal Referral,3.1,3,5,0,5,16,50,0,0,Retention
EMP0082,22,Female,Marketing,Specialist,16,2,104795,Internal Referral,3.2,3,4,0,3,23,59,2,0,Retention
EMP0083,46,Male,Engineering,Analyst,23,5,65554,Internal Referral,5.1,6,2,1,5,43,16,3,0,Retention
EMP0084,28,Male,Marketing,Analyst,20,4,76922,Job Board,2.1,5,2,1,5,37,42,2,0,Retention
EMP0085,30,Male,Finance,Engineer,18,4,43409,Campus Recruitment,3.1,7,2,1,4,9,40,3,0,Retention
EMP0086,45,Female,Finance,Manager,26,2,99327,Job Board,4.4,0,4,1,2,3,37,3,0,Retention
EMP0087,22,Male,Finance,Manager,6,3,66639,Internal Referral,2.2,9,5,1,4,8,50,2,0,Retention
EMP0088,29,Male,Finance,Engineer,22,3,93627,Internal Referral,4.8,6,3,0,1,38,20,4,0,Retention
EMP0089,45,Female,Finance,Engineer,8,1,113424,Job Board,4.4,6,1,1,5,4,49,4,0,Retention
EMP0090,32,Female,Engineering,Specialist,6,1,49692,Internal Referral,3.8,6,3,0,2,12,52,4,0,Retention
EMP0091,38,Female,Engineering,Specialist,12,5,119037,Internal Referral,3,6,5,0,5,44,49,1,0,Retention
EMP0092,29,Female,Engineering,Specialist,10,2,108840,Job Board,2.1,9,3,1,5,31,88,3,0,Retention
EMP0093,56,Male,Marketing,Engineer,13,1,84200,Job Board,4.2,9,4,1,4,25,67,2,0,Retention
EMP0094,56,Male,Marketing,Engineer,18,1,87415,Job Board,6.2,7,2,0,2,16,52,4,1,Turnover
EMP0095,54,Male,Marketing,Analyst,10,2,48074,Internal Referral,3.6,8,5,0,2,42,73,4,0,Retention
EMP0096,26,Male,Marketing,Specialist,12,5,45549,Internal Referral,1.7,8,5,0,5,14,57,2,0,Retention
EMP0097,63,Female,Finance,Specialist,13,1,59963,Campus Recruitment,4,1,3,0,2,13,18,3,0,Retention
EMP0098,60,Male,Finance,Specialist,12,5,82265,Campus Recruitment,4.4,6,4,1,2,41,19,2,1,Turnover
EMP0099,62,Male,Finance,Manager,0,4,46061,Job Board,2.6,6,3,0,4,7,82,1,0,Retention
EMP0100,49,Female,Sales,Analyst,7,5,88226,Campus Recruitment,2.9,3,3,0,3,12,59,1,0,Retention
EMP0101,28,Male,Engineering,Specialist,11,3,58810,Internal Referral,2.8,8,5,0,1,37,39,2,0,Retention
EMP0102,30,Male,Marketing,Specialist,18,3,90006,Campus Recruitment,3,7,3,0,3,4,25,3,0,Retention
EMP0103,29,Male,Marketing,Specialist,11,5,52800,Internal Referral,3.3,0,2,0,2,2,43,4,1,Turnover
EMP0104,33,Male,Finance,Manager,7,3,105476,Job Board,2.6,1,3,1,5,35,48,1,0,Retention
EMP0105,55,Male,Marketing,Manager,7,4,99460,Job Board,2.3,1,2,0,1,44,28,1,0,Retention
EMP0106,54,Male,Marketing,Engineer,28,2,87767,Internal Referral,3.7,7,5,0,1,3,38,3,1,Turnover
EMP0107,44,Female,Engineering,Analyst,20,3,58054,Campus Recruitment,3.3,0,4,0,5,4,73,1,0,Retention
EMP0108,45,Female,Finance,Engineer,12,3,105319,Job Board,3.1,3,2,0,1,38,53,1,0,Retention
EMP0109,58,Male,Engineering,Analyst,11,5,75397,Job Board,3.6,9,4,1,5,12,40,3,0,Retention
EMP0110,56,Male,Sales,Manager,28,4,43233,Campus Recruitment,2,4,4,0,1,19,57,2,0,Retention
EMP0111,61,Female,Sales,Specialist,15,2,55068,Campus Recruitment,3.8,8,2,1,3,10,50,4,0,Retention
EMP0112,43,Male,Sales,Engineer,0,5,95727,Internal Referral,3.1,6,5,0,1,1,53,4,0,Retention
EMP0113,48,Male,Finance,Specialist,12,5,100453,Campus Recruitment,3.7,7,1,0,4,17,75,1,0,Retention
EMP0114,56,Male,Marketing,Engineer,25,4,55832,Campus Recruitment,3.9,8,4,0,5,16,30,4,1,Turnover
EMP0115,22,Female,Finance,Manager,6,2,116242,Campus Recruitment,4.6,6,4,0,1,9,73,2,1,Turnover
EMP0116,56,Male,Finance,Manager,27,4,43682,Internal Referral,3.6,4,5,1,5,9,20,1,0,Retention
EMP0117,58,Female,Marketing,Manager,25,2,53383,Internal Referral,4.6,4,5,0,4,9,70,4,0,Retention
EMP0118,35,Male,Engineering,Engineer,4,4,88160,Job Board,3.2,9,3,0,1,12,22,0,1,Turnover
EMP0119,24,Female,Sales,Analyst,7,5,53666,Internal Referral,3.2,5,5,0,1,41,41,0,0,Retention
EMP0120,22,Female,Engineering,Engineer,24,5,88817,Job Board,3.4,4,4,0,4,15,85,0,0,Retention
EMP0121,26,Male,Sales,Analyst,26,1,64642,Campus Recruitment,4.3,8,2,1,4,2,41,0,0,Retention
EMP0122,47,Female,Finance,Engineer,13,3,71830,Job Board,4.1,2,1,0,4,11,60,0,0,Retention
EMP0123,35,Male,Sales,Engineer,22,4,40234,Job Board,3.6,2,3,0,5,11,55,1,0,Retention
EMP0124,60,Female,Finance,Manager,29,1,87616,Campus Recruitment,2.3,6,2,1,4,8,39,3,1,Turnover
EMP0125,48,Male,Engineering,Specialist,12,3,39221,Job Board,4.1,6,1,0,5,32,32,3,0,Retention
EMP0126,30,Male,Finance,Specialist,14,4,41410,Internal Referral,2.6,5,1,0,3,6,26,1,1,Turnover
EMP0127,36,Female,Engineering,Analyst,22,2,110055,Internal Referral,2.6,2,1,0,1,20,65,1,0,Retention
EMP0128,36,Male,Marketing,Specialist,16,3,91413,Internal Referral,2.4,6,2,1,1,39,53,2,1,Turnover
EMP0129,47,Male,Marketing,Engineer,14,5,31051,Internal Referral,3.4,4,3,1,2,35,24,3,0,Retention
EMP0130,63,Female,Marketing,Engineer,19,1,105301,Job Board,4.7,6,3,0,3,8,88,0,0,Retention
EMP0131,34,Male,Finance,Manager,17,3,106918,Job Board,2.5,1,1,0,4,49,68,1,0,Retention
EMP0132,53,Male,Marketing,Manager,17,3,108116,Campus Recruitment,5.2,5,2,1,4,43,43,0,0,Retention
EMP0133,60,Female,Sales,Specialist,1,5,86563,Job Board,4.4,7,1,0,3,34,55,3,0,Retention
EMP0134,53,Female,Engineering,Analyst,3,4,74757,Job Board,2,0,5,0,4,19,23,4,0,Retention
EMP0135,25,Male,Engineering,Specialist,29,2,107475,Job Board,3.1,3,3,0,2,7,77,4,0,Retention
EMP0136,51,Male,Sales,Specialist,0,5,81257,Campus Recruitment,2.5,0,4,1,5,31,51,1,0,Retention
EMP0137,58,Female,Finance,Specialist,3,2,30307,Internal Referral,4.2,0,1,0,1,18,28,2,0,Retention
EMP0138,44,Female,Finance,Specialist,17,4,86889,Job Board,2.5,9,5,0,3,40,87,0,0,Retention
EMP0139,60,Male,Engineering,Engineer,4,3,98895,Campus Recruitment,1.9,7,3,0,1,14,86,1,0,Retention
EMP0140,36,Female,Marketing,Analyst,18,2,65944,Campus Recruitment,3.2,6,2,0,5,39,53,2,1,Turnover
EMP0141,64,Male,Finance,Engineer,14,1,68134,Campus Recruitment,4.7,9,3,1,3,36,54,0,0,Retention
EMP0142,50,Male,Finance,Analyst,27,1,57323,Internal Referral,3.3,0,2,0,5,17,68,3,1,Turnover
EMP0143,57,Male,Sales,Manager,7,5,101762,Job Board,3.9,1,2,0,4,37,17,4,0,Retention
EMP0144,34,Male,Sales,Specialist,19,4,117225,Campus Recruitment,3.9,3,1,0,4,44,69,2,0,Retention
EMP0145,53,Male,Marketing,Engineer,16,5,55954,Internal Referral,2,0,1,0,4,9,47,0,0,Retention
EMP0146,28,Female,Finance,Analyst,0,5,85021,Campus Recruitment,2.6,2,3,1,5,20,85,1,0,Retention
EMP0147,43,Female,Finance,Manager,11,5,119959,Campus Recruitment,3.5,7,5,0,5,45,33,0,0,Retention
EMP0148,49,Female,Sales,Manager,25,1,109866,Campus Recruitment,2.9,7,3,1,5,28,48,1,0,Retention
EMP0149,23,Female,Finance,Specialist,18,1,100427,Campus Recruitment,5.2,7,4,0,1,20,64,4,0,Retention
EMP0150,63,Male,Engineering,Analyst,14,5,34992,Campus Recruitment,2.3,5,2,0,5,41,61,4,0,Retention
EMP0151,27,Male,Sales,Engineer,8,1,31961,Internal Referral,2.6,5,2,0,4,36,60,0,0,Retention
EMP0152,49,Male,Marketing,Specialist,6,4,42497,Job Board,3.8,4,1,0,2,27,70,0,0,Retention
EMP0153,49,Male,Sales,Engineer,1,5,62551,Job Board,2.9,8,5,0,5,8,71,1,0,Retention
EMP0154,41,Female,Finance,Manager,28,1,106384,Job Board,0.6,3,1,1,2,32,65,1,0,Retention
EMP0155,51,Male,Marketing,Engineer,8,2,85755,Job Board,5.4,9,4,0,4,1,68,2,0,Retention
EMP0156,32,Male,Sales,Engineer,9,5,43255,Internal Referral,2.4,6,3,0,5,17,42,2,0,Retention
EMP0157,49,Female,Engineering,Specialist,1,5,34567,Internal Referral,4.1,0,3,1,1,9,33,2,0,Retention
EMP0158,46,Female,Engineering,Engineer,18,4,78847,Internal Referral,2.2,8,5,1,1,20,41,0,0,Retention
EMP0159,60,Female,Sales,Specialist,10,3,78003,Campus Recruitment,2.6,6,1,0,2,45,62,2,0,Retention
EMP0160,54,Female,Engineering,Manager,12,3,50389,Campus Recruitment,1.9,9,1,0,1,32,33,0,0,Retention
EMP0161,22,Male,Engineering,Specialist,9,4,74523,Campus Recruitment,2.8,8,4,0,1,2,65,4,0,Retention
EMP0162,48,Male,Engineering,Specialist,13,4,91576,Job Board,2.9,6,3,1,1,32,21,3,0,Retention
EMP0163,34,Female,Marketing,Analyst,17,4,73919,Campus Recruitment,3.4,1,1,1,4,45,43,4,0,Retention
EMP0164,62,Male,Engineering,Engineer,18,3,112103,Job Board,3.1,5,5,1,1,9,57,0,0,Retention
EMP0165,24,Male,Engineering,Manager,21,4,33358,Campus Recruitment,2.1,9,3,1,3,30,83,0,0,Retention
EMP0166,60,Male,Engineering,Specialist,8,1,118535,Job Board,3,3,4,0,5,20,72,3,0,Retention
EMP0167,27,Female,Marketing,Manager,24,5,106524,Campus Recruitment,4.9,2,5,1,1,38,22,1,1,Turnover
EMP0168,29,Male,Sales,Analyst,6,5,35698,Campus Recruitment,4.8,1,2,0,1,1,56,1,0,Retention
EMP0169,48,Female,Finance,Engineer,27,2,96809,Internal Referral,4,5,4,0,1,5,56,1,0,Retention
EMP0170,30,Male,Engineering,Specialist,2,2,85805,Campus Recruitment,4.2,7,5,0,3,35,27,2,0,Retention
EMP0171,58,Male,Sales,Engineer,19,5,61349,Campus Recruitment,5.6,5,1,1,1,36,40,1,0,Retention
EMP0172,54,Male,Engineering,Analyst,5,1,106777,Internal Referral,4.1,8,2,1,1,1,32,2,1,Turnover
EMP0173,63,Female,Marketing,Analyst,26,3,80248,Job Board,4.1,4,4,0,5,14,56,2,0,Retention
EMP0174,45,Male,Sales,Manager,20,3,105033,Internal Referral,1.9,1,1,1,3,9,65,1,1,Turnover
EMP0175,36,Female,Marketing,Specialist,1,1,74041,Internal Referral,2.4,7,2,1,3,30,30,1,0,Retention
EMP0176,53,Female,Engineering,Manager,28,3,61954,Job Board,3.5,8,3,0,1,24,17,3,0,Retention
EMP0177,53,Female,Engineering,Analyst,5,4,38002,Campus Recruitment,2.7,9,1,0,3,4,59,3,0,Retention
EMP0178,45,Male,Marketing,Engineer,2,5,99783,Job Board,2.5,3,5,1,2,14,36,2,0,Retention
EMP0179,62,Male,Finance,Manager,15,5,117234,Campus Recruitment,2.6,5,4,0,3,25,37,3,0,Retention
EMP0180,33,Male,Marketing,Manager,29,1,49738,Campus Recruitment,2.1,9,2,0,3,4,73,2,0,Retention
EMP0181,60,Male,Engineering,Engineer,7,3,40703,Job Board,2.7,7,1,1,3,25,76,0,0,Retention
EMP0182,23,Female,Marketing,Manager,1,2,79422,Internal Referral,3.8,8,3,1,4,10,82,2,1,Turnover
EMP0183,24,Female,Finance,Engineer,16,2,113106,Job Board,5.3,4,4,0,4,35,68,2,0,Retention
EMP0184,58,Female,Marketing,Specialist,8,3,91899,Campus Recruitment,4.3,5,4,1,4,7,71,3,0,Retention
EMP0185,38,Male,Finance,Engineer,29,2,42392,Job Board,4.1,3,1,0,3,42,37,0,0,Retention
EMP0186,23,Female,Finance,Specialist,11,1,74724,Job Board,1.9,4,3,0,2,13,74,4,0,Retention
EMP0187,23,Male,Marketing,Engineer,2,1,62299,Campus Recruitment,3.6,6,2,0,3,4,87,4,0,Retention
EMP0188,49,Female,Marketing,Analyst,10,3,45641,Internal Referral,3.4,8,1,0,1,43,69,4,0,Retention
EMP0189,44,Male,Sales,Analyst,0,2,109534,Job Board,3.8,9,2,1,2,36,77,0,0,Retention
EMP0190,58,Male,Engineering,Specialist,22,1,36305,Campus Recruitment,3.1,5,4,0,4,14,70,1,0,Retention
EMP0191,53,Female,Finance,Specialist,12,1,48782,Campus Recruitment,5.2,5,2,0,5,18,69,0,0,Retention
EMP0192,54,Female,Sales,Analyst,14,4,108257,Job Board,3.6,7,3,0,2,8,39,3,0,Retention
EMP0193,22,Female,Marketing,Specialist,25,4,107963,Internal Referral,3.7,3,5,1,4,32,40,2,1,Turnover
EMP0194,40,Female,Engineering,Engineer,4,1,50566,Job Board,1.5,2,3,0,2,27,63,2,0,Retention
EMP0195,23,Male,Sales,Engineer,20,3,97766,Internal Referral,3.4,6,2,0,2,42,77,3,0,Retention
EMP0196,47,Female,Finance,Analyst,29,5,36511,Internal Referral,4.6,4,1,0,3,37,59,3,0,Retention
EMP0197,53,Female,Sales,Manager,16,5,56177,Internal Referral,4.1,1,4,1,1,23,87,2,1,Turnover
EMP0198,27,Female,Finance,Engineer,24,1,34765,Internal Referral,1.3,1,5,0,5,7,53,1,0,Retention
EMP0199,53,Male,Marketing,Specialist,22,1,50354,Job Board,3.1,5,1,0,4,12,79,1,0,Retention
EMP0200,25,Male,Engineering,Manager,23,1,53929,Campus Recruitment,5.2,7,1,0,2,25,83,1,0,Retention
EMP0201,32,Female,Engineering,Manager,24,3,58820,Campus Recruitment,3.3,0,3,1,5,3,70,3,0,Retention
EMP0202,38,Male,Engineering,Engineer,5,4,59523,Campus Recruitment,3.8,5,2,0,2,26,23,2,0,Retention
EMP0203,59,Female,Marketing,Engineer,27,1,101088,Campus Recruitment,5.1,1,3,0,1,4,84,2,0,Retention
EMP0204,45,Male,Finance,Manager,20,1,96163,Campus Recruitment,3.3,1,2,0,5,42,42,2,0,Retention
EMP0205,26,Male,Marketing,Manager,21,2,107525,Campus Recruitment,4.3,6,3,0,4,36,59,0,0,Retention
EMP0206,55,Male,Engineering,Analyst,10,3,43780,Job Board,3.9,9,1,1,2,15,40,0,0,Retention
EMP0207,27,Male,Marketing,Specialist,17,1,36589,Internal Referral,4.1,0,4,0,1,32,42,4,1,Turnover
EMP0208,43,Female,Marketing,Analyst,3,2,64812,Campus Recruitment,3.9,5,2,1,5,29,54,0,0,Retention
EMP0209,32,Female,Marketing,Engineer,2,5,75939,Job Board,3,6,5,1,2,10,29,1,0,Retention
EMP0210,37,Female,Finance,Analyst,12,1,81493,Campus Recruitment,3.1,7,5,0,2,21,20,1,0,Retention
EMP0211,54,Male,Sales,Analyst,22,1,70953,Campus Recruitment,2.6,6,1,1,4,16,41,1,0,Retention
EMP0212,30,Female,Sales,Analyst,8,2,95785,Internal Referral,1.9,5,3,1,1,47,52,1,0,Retention
EMP0213,27,Female,Marketing,Analyst,20,3,49309,Internal Referral,4.7,8,3,1,3,19,82,4,1,Turnover
EMP0214,37,Female,Sales,Specialist,5,1,84195,Internal Referral,3.5,2,1,0,2,29,89,1,1,Turnover
EMP0215,50,Male,Sales,Specialist,25,5,55901,Campus Recruitment,4.7,5,5,0,5,18,78,3,0,Retention
EMP0216,24,Male,Marketing,Manager,29,1,53576,Campus Recruitment,5.1,3,5,0,4,44,44,3,0,Retention
EMP0217,41,Male,Marketing,Engineer,27,5,61508,Campus Recruitment,3.6,1,3,1,4,16,17,3,0,Retention
EMP0218,57,Female,Engineering,Analyst,11,4,104711,Internal Referral,2.2,0,2,0,2,1,76,0,0,Retention
EMP0219,40,Female,Sales,Manager,1,4,55464,Job Board,3.3,0,4,0,2,48,26,2,0,Retention
EMP0220,47,Female,Finance,Manager,2,5,90281,Campus Recruitment,2.8,9,2,0,2,2,44,4,0,Retention
EMP0221,24,Male,Marketing,Manager,2,3,46260,Campus Recruitment,1.5,2,5,0,3,15,52,3,0,Retention
EMP0222,40,Male,Engineering,Specialist,27,1,65440,Campus Recruitment,3,3,2,0,2,39,74,3,0,Retention
EMP0223,41,Female,Finance,Analyst,11,1,86683,Job Board,3.4,1,4,0,1,28,52,1,0,Retention
EMP0224,53,Male,Sales,Analyst,14,4,71430,Campus Recruitment,2.9,0,2,0,5,1,29,3,0,Retention
EMP0225,28,Male,Engineering,Engineer,8,5,31987,Job Board,2.7,3,2,1,2,5,32,1,0,Retention
EMP0226,62,Male,Marketing,Analyst,22,1,55105,Campus Recruitment,2.2,6,2,0,3,42,66,1,0,Retention
EMP0227,54,Male,Finance,Analyst,7,1,108484,Job Board,3.7,9,2,1,5,22,43,2,0,Retention
EMP0228,61,Female,Marketing,Manager,10,3,43026,Campus Recruitment,5.4,5,1,0,4,36,74,0,0,Retention
EMP0229,60,Male,Sales,Engineer,15,2,98309,Internal Referral,4.8,5,5,0,2,46,35,1,0,Retention
EMP0230,39,Male,Finance,Analyst,25,4,75927,Internal Referral,4.2,8,4,1,5,13,31,1,0,Retention
EMP0231,61,Male,Sales,Specialist,26,4,105414,Internal Referral,4.2,1,5,1,4,1,32,2,0,Retention
EMP0232,22,Male,Sales,Analyst,24,2,87535,Internal Referral,3.4,3,1,0,3,16,71,1,1,Turnover
EMP0233,32,Female,Engineering,Manager,21,1,72946,Campus Recruitment,1.7,4,1,1,1,41,51,4,0,Retention
EMP0234,49,Female,Marketing,Specialist,3,3,86561,Internal Referral,3.1,0,1,1,2,22,74,0,0,Retention
